项目id,项目名称,地址,城市,8月项目下智能屏理论点位数,日期,排片点位数,刊挂总时常
363,晶晶大厦,刀茅巷216号,杭州,1,2019/1/14,1,15
379,秋涛综合楼,庆春东路35号,杭州,9,2019/1/14,9,195
388,仁和大厦,惠兴路12号,杭州,2,2019/1/14,2,30
397,瑞丰国际商务大厦,中河中路258号,杭州,8,2019/1/14,8,120
404,国都商务大厦,凤起路361号,杭州,45,2019/1/14,41,615
410,标力大厦,延安路528号,杭州,1,2019/1/14,1,15
452,华鸿大厦,天目山路238号,杭州,17,2019/1/14,14,240
456,万安商社,建国中路27号,杭州,1,2019/1/14,1,15
474,杭州孔雀大酒店,小河路697号,杭州,2,2019/1/14,2,30
781,茂泰世纪,中河北路83号,杭州,38,2019/1/14,33,495
888,西湖时代广场,庆春路225号,杭州,9,2019/1/14,3,45
929,同方财富大厦,凤起路334号,杭州,24,2019/1/14,20,300
975,西湖大厦,文二路202号,杭州,1,2019/1/14,1,15
1596,运务大楼,体育场路379号,杭州,1,2019/1/14,1,15
1635,浙江供销大楼,庆春路228号,杭州,2,2019/1/14,2,30
1732,南肖埠御景苑,太平门直街216号,杭州,21,2019/1/14,21,945
1755,浙江利华假日酒店,登云路38号,杭州,2,2019/1/14,2,30
1781,长堤明苑,庆春路9号,杭州,2,2019/1/14,2,30
1809,浙江五矿大厦,中山北路310号,杭州,2,2019/1/14,2,30
1819,耀江发展中心,环城北路305号,杭州,3,2019/1/14,3,45
1932,和平大厦,绍兴路168号,杭州,1,2019/1/14,1,15
2045,采荷嘉业大厦,新塘路19号,杭州,21,2019/1/14,21,315
2137,嘉德广场,庆春路118号,杭州,31,2019/1/14,31,465
2273,国贸大厦,中河路168号,杭州,1,2019/1/14,1,15
2384,嘉汇大厦,朝晖路181号,杭州,27,2019/1/14,1,15
2404,浙江物产国际广场,凯旋路445号,杭州,43,2019/1/14,43,705
2614,建工大厦（杭州）,文三路20号,杭州,6,2019/1/14,5,75
2701,伊世纪城市花园,星光路803号,杭州,14,2019/1/14,14,210
2743,联锦大厦,朝晖路175号,杭州,1,2019/1/14,1,15
3285,双牛大厦,建国北路281号,杭州,3,2019/1/14,1,15
3496,二轻大厦,延安路398号,杭州,1,2019/1/14,1,15
3659,华荣时代大厦,江南大道3880号,杭州,1,2019/1/14,1,15
3704,新延安饭店,直戒坛寺巷20号,杭州,1,2019/1/14,1,15
4046,改革月报大楼,司马渡巷60号,杭州,26,2019/1/14,25,375
4187,华源发展大厦,建国北路639号,杭州,3,2019/1/14,2,30
4305,交运大厦,秋涛北路176号,杭州,3,2019/1/14,3,135
4418,平海国际大厦,中河中路222号,杭州,40,2019/1/14,40,600
4468,庆春发展大厦,庆春东路66号,杭州,20,2019/1/14,19,315
4488,马可波罗假日酒店,平海路38号,杭州,3,2019/1/14,3,45
4840,南北商务港,温州路71号,杭州,2,2019/1/14,2,30
4895,南都房地产大厦,市心南路175号,杭州,1,2019/1/14,1,15
4908,广茵大厦,凤起东路42号,杭州,2,2019/1/14,2,105
5089,深蓝广场,朝晖路205号,杭州,11,2019/1/14,11,165
5300,裕达大厦,体育场路10号,杭州,5,2019/1/14,1,15
5567,西湖国贸中心,庆春路235号,杭州,20,2019/1/14,10,150
5628,萧宏大厦,滨盛路1777号,杭州,2,2019/1/14,2,30
5969,锦绣大厦（杭州）,湖墅南路356号,杭州,1,2019/1/14,1,15
6842,中财发展大厦,中河中路285,杭州,15,2019/1/14,15,225
6961,银江科技产业园, 益乐路223号,杭州,5,2019/1/14,5,75
7025,中河大厦,庆春路159号,杭州,2,2019/1/14,2,30
7139,LOFT商务楼,文晖路22号,杭州,2,2019/1/14,2,30
7183,百瑞广场商务楼,市心北路199号,杭州,1,2019/1/14,1,15
7379,滨海威陵大厦,江南大道481号,杭州,5,2019/1/14,5,75
7401,中山花园,朝晖路221号,杭州,2,2019/1/14,2,30
7472,置业大厦(杭州),文晖路46号,杭州,16,2019/1/14,1,15
9781,晶晖商务大厦,中山北路631号,杭州,1,2019/1/14,1,15
9939,开元加州阳光（杭州）,金城路333号,杭州,64,2019/1/14,32,480
10803,伟星世纪大厦,解放路85号,杭州,39,2019/1/14,35,525
11093,西城新座,古墩路100号,杭州,4,2019/1/14,2,30
11207,现代国际大厦,天目山路159号,杭州,4,2019/1/14,1,15
11260,星河商务大厦,解放路89号,杭州,2,2019/1/14,2,30
11278,金融大厦_杭州,庆春路182号,杭州,1,2019/1/14,1,15
11318,中恒世纪科技园,南环路4028号,杭州,1,2019/1/14,1,15
12462,庆晖公寓,朝晖七区路1号,杭州,4,2019/1/14,3,45
15420,天成嘉苑,天城路251号,杭州,8,2019/1/14,8,360
15566,金龙商务楼,庆春路38号,杭州,1,2019/1/14,1,15
16035,金峰大厦,中河路281号,杭州,13,2019/1/14,13,195
16038,华都大厦(杭州),庆春路137号,杭州,1,2019/1/14,1,15
16156,丽阳国际商务中心,湖墅南路186号,杭州,7,2019/1/14,7,165
16234,杭州凤起时代大厦,新塘路99号,杭州,3,2019/1/14,3,45
16299,三新大厦,新塘路33号,杭州,30,2019/1/14,30,570
17236,广利大厦,庆春路136号,杭州,38,2019/1/14,38,570
17448,利兹城市公寓,建国北路611号,杭州,8,2019/1/14,8,120
17653,神州白云大厦,天成路176号,杭州,8,2019/1/14,8,120
17657,铭成商务楼,新华路39号,杭州,3,2019/1/14,1,15
17874,墨香苑,莫干山路725号,杭州,15,2019/1/14,14,210
17946,宁波大厦,天目山路46号,杭州,3,2019/1/14,3,45
20346,杭州大名空间,龙舌路46号,杭州,40,2019/1/14,40,600
21032,杭州商业大厦,庆春路149号,杭州,1,2019/1/14,1,15
21320,现代之窗大厦,潮王路2号,杭州,2,2019/1/14,2,30
22153,中豪凤起广场,凤起东路137号,杭州,25,2019/1/14,19,285
22160,计量大厦,万塘路252号,杭州,7,2019/1/14,4,120
22242,华立金顶苑商务楼,莫干山路499号,杭州,1,2019/1/14,1,15
22265,众安大楼,长庆街31号,杭州,17,2019/1/14,15,225
22905,现代城建大厦（杭州）,中山北路607号,杭州,16,2019/1/14,1,15
23072,元通大厦,延安路511号,杭州,15,2019/1/14,11,165
24712,南肖埠庆和苑,太平门直街88号,杭州,10,2019/1/14,10,360
24776,滨江南肖埠文景苑,凤起东路53号,杭州,27,2019/1/14,27,1215
25015,杭州华门商务中心,教工路123号,杭州,12,2019/1/14,12,180
25275,国际花园写字楼,天目山路160号,杭州,13,2019/1/14,9,150
25312,瑞祺大厦,莫干山路425号,杭州,1,2019/1/14,1,15
26312,凯旋门商业中心,庆春路11号,杭州,2,2019/1/14,2,30
26370,杭州花港海航度假酒店,杨公堤1号,杭州,5,2019/1/14,3,45
26732,农发大厦,武林路437号,杭州,1,2019/1/14,1,15
27454,杭州海外海通信大厦,上塘路386号,杭州,1,2019/1/14,1,15
27555,东方豪生大酒店,艮山西路288号,杭州,2,2019/1/14,2,30
29810,百脑汇科技大厦（杭州）,教工路23号,杭州,28,2019/1/14,6,165
29983,诚信大厦,建国北路236号,杭州,4,2019/1/14,3,45
30334,东门大厦,艮山西路78号,杭州,3,2019/1/14,3,105
31792,新城市广场,秋涛北路83号,杭州,20,2019/1/14,20,570
32097,浙商大博士楼,学院路212号,杭州,4,2019/1/14,4,150
32956,红石中央大厦,潮王路225号,杭州,34,2019/1/14,34,585
33006,湖畔大厦,文一西路172号,杭州,2,2019/1/14,2,30
33319,萧山国际商务中心,金城路458号,杭州,44,2019/1/14,44,660
33376,昌地火炬大厦,文三路259号,杭州,11,2019/1/14,7,105
34301,中兴大厦_杭州,江晖路1757号,杭州,6,2019/1/14,6,90
34328,国都发展大厦,朝晖路182号,杭州,10,2019/1/14,4,60
34571,阳光都市财富中心,环城北路63号,杭州,21,2019/1/14,15,225
34654,海华广场,建国北路658号,杭州,25,2019/1/14,24,360
34980,杭州日报大楼、杭州新闻大厦,体育场路218号,杭州,1,2019/1/14,1,15
